Frequency(Hz),Temperature (℃),A-weighted SPL (db)
50,-10,79.2
50,0,79.2
50,10,79.1
50,20,79.1
50,30,79
600,-10,79.1
600,0,79
600,10,79
600,20,78.9
600,30,78.9
5000,-10,78.6
5000,0,78.5
5000,10,78.5
5000,20,78.4
5000,30,78.3
15000,-10,77.8
15000,0,77.7
15000,10,77.6
15000,20,77.5
15000,30,77.5
,,
,,
,,
Frequency(Hz),Relative humidity(%),A-weighted SPL (db)
50,0,79.1
50,20,79
50,40,79
50,60,79
50,80,79
600,0,78.9
600,20,74.5
600,40,76.8
600,60,77.5
600,80,77.8
5000,0,78.4
5000,20,67
5000,40,70.8
5000,60,73.9
5000,80,77.8
15000,0,77.5
15000,20,61.5
15000,40,62.5
15000,60,67
15000,80,69.5
